entity,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
MONTERIA,SARIMA,0.1344,3,1.8512,12.95,59.8919,62.6772,1,0,1,2,0,2,13
NARIÑO,SARIMA,0.0883,0,2.9152,13.45,144.371,150.9172,2,1,2,0,0,1,13
CHOCO,SARIMA,0.1534,4,3.0882,14.08,145.6042,150.4797,2,0,0,0,0,1,13
CUCUTA,SARIMA,0.1193,0,1.2905,14.27,49.2771,51.3952,2,1,2,2,0,0,13
GUAINIA,SARIMA,0.1434,3,0.378,14.29,83.6567,89.3341,0,0,2,1,0,1,13
PEREIRA,SARIMA,0.3739,0,0.9125,14.29,99.5274,106.8391,2,2,2,1,0,1,13
PUERTO INIRIDA,SARIMA,0.8247,3,0.378,14.29,25.0442,26.8597,1,0,2,0,0,2,13
META,SARIMA,0.1197,3,2.0929,14.55,44.8645,46.9826,2,1,2,2,0,0,13
MEDELLIN,SARIMA,0.0561,0,3.991,14.59,80.0961,83.2793,2,0,2,2,0,1,13
QUIBDO,SARIMA,0.4156,3,1.0605,14.80,49.3099,51.7306,2,0,2,1,0,2,13
HUILA,SARIMA,0.0971,0,2.9946,15.21,79.1773,82.002,0,0,1,2,0,1,13
BARRANQUILLA,SARIMA,0.0389,3,6.6207,15.36,80.6645,82.7826,2,0,2,0,0,2,13
POPAYAN,SARIMA,0.1555,3,0.9226,15.50,48.9615,52.3559,1,0,2,2,0,1,13
ARAUCA,SARIMA,0.2775,3,0.8005,17.33,42.8063,44.9244,2,1,2,2,0,0,13
PASTO,SARIMA,0.0065,3,0.9756,17.50,37.6178,39.3928,2,1,2,2,0,2,13
PUTUMAYO,SARIMA,0.2375,0,0.7302,17.86,43.5163,46.4257,1,0,2,2,0,0,13
VAUPES,SARIMA,0.1479,3,0.5345,18.25,31.4609,33.579,2,1,2,2,0,0,13
LETICIA,SARIMA,0.5818,3,0.6547,19.05,41.9873,43.8028,1,0,2,0,0,2,13
CAQUETA,SARIMA,0.206,3,1.5132,20.37,69.156,72.5503,1,0,2,2,0,1,13
TUNJA,SARIMA,0.298,0,0.5669,20.48,31.8989,34.7237,0,0,2,2,0,0,13
BOYACA,SARIMA,0.1535,3,2.1861,20.66,48.1627,48.7188,2,2,2,1,1,1,13
SINCELEJO,SARIMA,0.0964,7,1.3827,21.49,51.0914,52.0776,2,1,2,0,2,0,13
YOPAL,SARIMA,0.0703,0,0.5345,23.81,22.4991,24.0121,2,1,0,2,0,0,13
MITU,SARIMA,0.3845,3,0.6898,25.89,27.3909,27.7086,0,2,2,0,1,1,13
AMAZONAS,SARIMA,0.408,0,0.7053,26.19,40.933,42.7485,1,0,2,0,0,2,13
SAN JOSE DEL GUAVIARE,SARIMA,0.2877,3,0.5946,26.19,51.7802,55.1699,0,0,2,2,0,1,13
ARMENIA,SARIMA,0.3377,3,1.0345,27.24,92.8484,98.5259,1,1,1,1,0,1,13
VILLAVICENCIO,SARIMA,0.1308,3,3.3343,29.17,57.9422,59.4551,2,1,0,2,0,0,13
CALDAS,SARIMA,0.0309,0,2.4318,29.87,60.0809,62.8662,2,0,2,2,0,0,13
NEIVA,SARIMA,0.009,3,1.5526,30.24,45.7526,46.9359,1,1,2,0,0,2,13
RIOHACHA,SARIMA,0.2347,0,3.1731,35.88,130.9212,137.7341,2,0,2,0,0,1,13
BUCARAMANGA,SARIMA,0.0617,0,1.0593,37.50,40.8226,43.5459,2,0,2,2,0,2,13
MOCOA,SARIMA,0.0084,5,0.9226,38.10,48.6579,51.4826,0,0,2,2,0,0,13
SAN ANDRES CAP,SARIMA,1.1109,3,0.9258,42.86,160.7269,162.3645,0,0,0,0,0,0,13
SAN ANDRES,SARIMA,0.13,3,0.9258,48.57,48.046,49.8615,2,1,1,1,1,1,13
GUAVIARE,SARIMA,1.5594,3,1.3866,50.00,49.2949,50.8078,0,0,2,0,0,2,13
