exec_date,index,entity,year,period,total
2020-12-16 12:03:43.551843,208,05000,2019,1,2380
2020-12-16 12:03:43.551843,209,05000,2019,2,2135
2020-12-16 12:03:43.551843,210,05000,2019,3,2172
2020-12-16 12:03:43.551843,211,05000,2019,4,2169
2020-12-16 12:03:43.551843,212,05000,2019,5,2206
2020-12-16 12:03:43.551843,213,05000,2019,6,2283
2020-12-16 12:03:43.551843,214,05000,2019,7,2266
2020-12-16 12:03:43.551843,215,05000,2019,8,2234
2020-12-16 12:03:43.551843,216,05000,2019,9,2298
2020-12-16 12:03:43.551843,217,05000,2019,10,2114
2020-12-16 12:03:43.551843,218,05000,2019,11,2234
2020-12-16 12:03:43.551843,219,05000,2019,12,2248.0
2020-12-16 12:03:43.551843,220,05000,2019,13,2295.0
2020-12-16 12:03:43.551843,221,05000,2020,1,2385
2020-12-16 12:03:43.551843,222,05000,2020,2,2276
2020-12-16 12:03:43.551843,223,05000,2020,3,2229
2020-12-16 12:03:43.551843,224,05000,2020,4,2063
2020-12-16 12:03:43.551843,225,05000,2020,5,2071
2020-12-16 12:03:43.551843,226,05000,2020,6,2087
2020-12-16 12:03:43.551843,227,05000,2020,7,2280
2020-12-16 12:03:43.551843,228,05000,2020,8,3666
2020-12-16 12:03:43.551843,229,05000,2020,9,3437
2020-12-16 12:03:43.551843,230,05000,2020,10,3043
2020-12-16 12:03:43.551843,231,05000,2020,11,3276
2020-12-16 12:03:43.551843,232,05000,2020,12,0.0
2020-12-16 12:03:43.551843,233,05000,2020,13,0.0
2020-12-16 12:03:43.551843,234,81000,2015,1,43
2020-12-16 12:03:43.551843,235,81000,2015,2,51
2020-12-16 12:03:43.551843,236,81000,2015,3,60
2020-12-16 12:03:43.551843,237,81000,2015,4,78
2020-12-16 12:03:43.551843,238,81000,2015,5,57
2020-12-16 12:03:43.551843,239,81000,2015,6,54
2020-12-16 12:03:43.551843,240,81000,2015,7,52
2020-12-16 12:03:43.551843,241,81000,2015,8,65
2020-12-16 12:03:43.551843,242,81000,2015,9,70
2020-12-16 12:03:43.551843,243,81000,2015,10,60
2020-12-16 12:03:43.551843,244,81000,2015,11,64
2020-12-16 12:03:43.551843,245,81000,2015,12,52.0
2020-12-16 12:03:43.551843,246,81000,2015,13,73.0
2020-12-16 12:03:43.551843,247,81000,2016,1,68
2020-12-16 12:03:43.551843,248,81000,2016,2,62
2020-12-16 12:03:43.551843,249,81000,2016,3,70
2020-12-16 12:03:43.551843,250,81000,2016,4,56
2020-12-16 12:03:43.551843,251,81000,2016,5,69
2020-12-16 12:03:43.551843,252,81000,2016,6,70
2020-12-16 12:03:43.551843,253,81000,2016,7,57
2020-12-16 12:03:43.551843,254,81000,2016,8,41
2020-12-16 12:03:43.551843,255,81000,2016,9,71
2020-12-16 12:03:43.551843,256,81000,2016,10,70
2020-12-16 12:03:43.551843,257,81000,2016,11,47
2020-12-16 12:03:43.551843,258,81000,2016,12,55.0
2020-12-16 12:03:43.551843,259,81000,2016,13,65.0
2020-12-16 12:03:43.551843,260,81000,2017,1,77
2020-12-16 12:03:43.551843,261,81000,2017,2,53
2020-12-16 12:03:43.551843,262,81000,2017,3,59
2020-12-16 12:03:43.551843,263,81000,2017,4,53
2020-12-16 12:03:43.551843,264,81000,2017,5,67
2020-12-16 12:03:43.551843,265,81000,2017,6,64
2020-12-16 12:03:43.551843,266,81000,2017,7,57
2020-12-16 12:03:43.551843,267,81000,2017,8,64
2020-12-16 12:03:43.551843,268,81000,2017,9,64
2020-12-16 12:03:43.551843,269,81000,2017,10,70
2020-12-16 12:03:43.551843,270,81000,2017,11,71
2020-12-16 12:03:43.551843,271,81000,2017,12,69.0
2020-12-16 12:03:43.551843,272,81000,2017,13,64.0
2020-12-16 12:03:43.551843,273,81000,2018,1,69
2020-12-16 12:03:43.551843,274,81000,2018,2,72
2020-12-16 12:03:43.551843,275,81000,2018,3,65
2020-12-16 12:03:43.551843,276,81000,2018,4,65
2020-12-16 12:03:43.551843,277,81000,2018,5,57
2020-12-16 12:03:43.551843,278,81000,2018,6,67
2020-12-16 12:03:43.551843,279,81000,2018,7,63
2020-12-16 12:03:43.551843,280,81000,2018,8,78
2020-12-16 12:03:43.551843,281,81000,2018,9,72
2020-12-16 12:03:43.551843,282,81000,2018,10,92
2020-12-16 12:03:43.551843,283,81000,2018,11,63
2020-12-16 12:03:43.551843,284,81000,2018,12,68.0
2020-12-16 12:03:43.551843,285,81000,2018,13,64.0
2020-12-16 12:03:43.551843,286,81000,2019,1,72
2020-12-16 12:03:43.551843,287,81000,2019,2,47
2020-12-16 12:03:43.551843,288,81000,2019,3,76
2020-12-16 12:03:43.551843,289,81000,2019,4,56
2020-12-16 12:03:43.551843,290,81000,2019,5,71
2020-12-16 12:03:43.551843,291,81000,2019,6,62
2020-12-16 12:03:43.551843,292,81000,2019,7,72
2020-12-16 12:03:43.551843,293,81000,2019,8,62
2020-12-16 12:03:43.551843,294,81000,2019,9,83
2020-12-16 12:03:43.551843,295,81000,2019,10,75
2020-12-16 12:03:43.551843,296,81000,2019,11,79
2020-12-16 12:03:43.551843,297,81000,2019,12,62.0
2020-12-16 12:03:43.551843,298,81000,2019,13,85.0
2020-12-16 12:03:43.551843,299,81000,2020,1,69
2020-12-16 12:03:43.551843,300,81000,2020,2,74
2020-12-16 12:03:43.551843,301,81000,2020,3,68
2020-12-16 12:03:43.551843,302,81000,2020,4,67
2020-12-16 12:03:43.551843,303,81000,2020,5,61
2020-12-16 12:03:43.551843,304,81000,2020,6,73
2020-12-16 12:03:43.551843,305,81000,2020,7,65
2020-12-16 12:03:43.551843,306,81000,2020,8,87
2020-12-16 12:03:43.551843,307,81000,2020,9,106
2020-12-16 12:03:43.551843,308,81000,2020,10,114
2020-12-16 12:03:43.551843,309,81000,2020,11,134
2020-12-16 12:03:43.551843,310,81000,2020,12,0.0
