department,date,value
SUCRE,2/24/2019,0
TOLIMA,2/24/2019,0
VALLE DEL CAUCA,2/24/2019,1
VAUPES,2/24/2019,0
VICHADA,2/24/2019,0
AMAZONAS,3/3/2019,0
ANTIOQUIA,3/3/2019,0
ARAUCA,3/3/2019,0
ATLANTICO,3/3/2019,0
BOGOTA,3/3/2019,1
BOLIVAR,3/3/2019,0
BOYACA,3/3/2019,0
CALDAS,3/3/2019,0
CAQUETA,3/3/2019,0
CASANARE,3/3/2019,0
CAUCA,3/3/2019,1
CESAR,3/3/2019,0
CHOCO,3/3/2019,1
CORDOBA,3/3/2019,1
CUNDINAMARCA,3/3/2019,0
GUAINIA,3/3/2019,0
GUAVIARE,3/3/2019,0
HUILA,3/3/2019,0
LA GUAJIRA,3/3/2019,0
MAGDALENA,3/3/2019,0
META,3/3/2019,0
NARIÑO,3/3/2019,0
NORTE SANTANDER,3/3/2019,1
PUTUMAYO,3/3/2019,0
RISARALDA,3/3/2019,2
SANTANDER,3/3/2019,0
SUCRE,3/3/2019,0
TOLIMA,3/3/2019,0
VALLE DEL CAUCA,3/3/2019,0
VAUPES,3/3/2019,0
VICHADA,3/3/2019,0
AMAZONAS,3/10/2019,0
ANTIOQUIA,3/10/2019,0
ARAUCA,3/10/2019,0
ATLANTICO,3/10/2019,0
BOGOTA,3/10/2019,0
BOLIVAR,3/10/2019,0
BOYACA,3/10/2019,0
CALDAS,3/10/2019,0
CAQUETA,3/10/2019,0
CASANARE,3/10/2019,0
CAUCA,3/10/2019,0
CESAR,3/10/2019,0
CHOCO,3/10/2019,0
CORDOBA,3/10/2019,0
CUNDINAMARCA,3/10/2019,1
GUAINIA,3/10/2019,0
GUAVIARE,3/10/2019,0
HUILA,3/10/2019,0
LA GUAJIRA,3/10/2019,2
MAGDALENA,3/10/2019,0
META,3/10/2019,0
NARIÑO,3/10/2019,0
NORTE SANTANDER,3/10/2019,0
PUTUMAYO,3/10/2019,0
RISARALDA,3/10/2019,0
SANTANDER,3/10/2019,0
SUCRE,3/10/2019,0
TOLIMA,3/10/2019,0
VALLE DEL CAUCA,3/10/2019,1
VAUPES,3/10/2019,0
VICHADA,3/10/2019,0
AMAZONAS,3/17/2019,0
ANTIOQUIA,3/17/2019,0
ARAUCA,3/17/2019,0
ATLANTICO,3/17/2019,1
BOGOTA,3/17/2019,2
BOLIVAR,3/17/2019,0
BOYACA,3/17/2019,0
CALDAS,3/17/2019,0
CAQUETA,3/17/2019,0
CASANARE,3/17/2019,0
CAUCA,3/17/2019,0
CESAR,3/17/2019,0
CHOCO,3/17/2019,0
CORDOBA,3/17/2019,1
CUNDINAMARCA,3/17/2019,2
GUAINIA,3/17/2019,0
GUAVIARE,3/17/2019,0
HUILA,3/17/2019,0
LA GUAJIRA,3/17/2019,2
MAGDALENA,3/17/2019,0
META,3/17/2019,0
NARIÑO,3/17/2019,0
NORTE SANTANDER,3/17/2019,1
PUTUMAYO,3/17/2019,0
RISARALDA,3/17/2019,0
SANTANDER,3/17/2019,0
SUCRE,3/17/2019,0
TOLIMA,3/17/2019,0
VALLE DEL CAUCA,3/17/2019,0
VAUPES,3/17/2019,0
VICHADA,3/17/2019,0
AMAZONAS,3/24/2019,0
ANTIOQUIA,3/24/2019,1
ARAUCA,3/24/2019,0
