zone,date,year,month,week,value
ANDINA,5/26/2019,2019,5,22,1
ANDINA,6/2/2019,2019,6,23,1
ANDINA,6/9/2019,2019,6,24,0
ANDINA,6/16/2019,2019,6,25,1
ANDINA,6/23/2019,2019,6,26,2
ANDINA,6/30/2019,2019,6,27,0
ANDINA,7/7/2019,2019,7,28,1
ANDINA,7/14/2019,2019,7,29,2
ANDINA,7/21/2019,2019,7,30,6
ANDINA,7/28/2019,2019,7,31,4
ANDINA,8/4/2019,2019,8,32,3
ANDINA,8/11/2019,2019,8,33,1
ANDINA,8/18/2019,2019,8,34,1
ANDINA,8/25/2019,2019,8,35,1
ANDINA,9/1/2019,2019,9,36,0
ANDINA,9/8/2019,2019,9,37,4
ANDINA,9/15/2019,2019,9,38,5
ANDINA,9/22/2019,2019,9,39,3
ANDINA,9/29/2019,2019,9,40,3
ANDINA,10/6/2019,2019,10,41,1
ANDINA,10/13/2019,2019,10,42,2
ANDINA,10/20/2019,2019,10,43,2
ANDINA,10/27/2019,2019,10,44,2
ANDINA,11/3/2019,2019,11,45,3
ANDINA,11/10/2019,2019,11,46,1
ANDINA,11/17/2019,2019,11,47,2
ANDINA,11/24/2019,2019,11,48,3
ANDINA,12/1/2019,2019,12,49,4
ANDINA,12/8/2019,2019,12,50,0
ANDINA,12/15/2019,2019,12,51,1
ANDINA,12/22/2019,2019,12,52,0
ANDINA,1/1/2020,2020,1,1,1
ANDINA,1/5/2020,2020,1,2,0
ANDINA,1/12/2020,2020,1,3,2
ANDINA,1/19/2020,2020,1,4,2
ANDINA,1/26/2020,2020,1,5,2
ANDINA,2/2/2020,2020,2,6,3
ANDINA,2/9/2020,2020,2,7,0
ANDINA,2/16/2020,2020,2,8,3
CARIBE,1/1/2018,2018,1,1,3
CARIBE,1/7/2018,2018,1,2,1
CARIBE,1/14/2018,2018,1,3,6
CARIBE,1/21/2018,2018,1,4,1
CARIBE,1/28/2018,2018,1,5,3
CARIBE,2/4/2018,2018,2,6,1
CARIBE,2/11/2018,2018,2,7,1
CARIBE,2/18/2018,2018,2,8,0
CARIBE,2/25/2018,2018,2,9,3
CARIBE,3/4/2018,2018,3,10,3
CARIBE,3/11/2018,2018,3,11,2
CARIBE,3/18/2018,2018,3,12,0
CARIBE,3/25/2018,2018,3,13,3
CARIBE,4/1/2018,2018,4,14,1
CARIBE,4/8/2018,2018,4,15,1
CARIBE,4/15/2018,2018,4,16,1
CARIBE,4/22/2018,2018,4,17,2
CARIBE,4/29/2018,2018,4,18,5
CARIBE,5/6/2018,2018,5,19,3
CARIBE,5/13/2018,2018,5,20,2
CARIBE,5/20/2018,2018,5,21,4
CARIBE,5/27/2018,2018,5,22,5
CARIBE,6/3/2018,2018,6,23,3
CARIBE,6/10/2018,2018,6,24,0
CARIBE,6/17/2018,2018,6,25,3
CARIBE,6/24/2018,2018,6,26,5
CARIBE,7/1/2018,2018,7,27,1
CARIBE,7/8/2018,2018,7,28,3
CARIBE,7/15/2018,2018,7,29,5
CARIBE,7/22/2018,2018,7,30,1
CARIBE,7/29/2018,2018,7,31,1
CARIBE,8/5/2018,2018,8,32,7
CARIBE,8/12/2018,2018,8,33,3
CARIBE,8/19/2018,2018,8,34,0
CARIBE,8/26/2018,2018,8,35,4
CARIBE,9/2/2018,2018,9,36,3
CARIBE,9/9/2018,2018,9,37,4
CARIBE,9/16/2018,2018,9,38,3
CARIBE,9/23/2018,2018,9,39,3
CARIBE,9/30/2018,2018,9,40,1
CARIBE,10/7/2018,2018,10,41,3
CARIBE,10/14/2018,2018,10,42,3
CARIBE,10/21/2018,2018,10,43,3
CARIBE,10/28/2018,2018,10,44,5
CARIBE,11/4/2018,2018,11,45,5
CARIBE,11/11/2018,2018,11,46,3
CARIBE,11/18/2018,2018,11,47,0
CARIBE,11/25/2018,2018,11,48,3
CARIBE,12/2/2018,2018,12,49,2
CARIBE,12/9/2018,2018,12,50,5
CARIBE,12/16/2018,2018,12,51,1
CARIBE,12/23/2018,2018,12,52,1
CARIBE,1/1/2019,2019,1,1,2
CARIBE,1/6/2019,2019,1,2,2
CARIBE,1/13/2019,2019,1,3,1
CARIBE,1/20/2019,2019,1,4,2
CARIBE,1/27/2019,2019,1,5,2
CARIBE,2/3/2019,2019,2,6,3
CARIBE,2/10/2019,2019,2,7,2
CARIBE,2/17/2019,2019,2,8,0
CARIBE,2/24/2019,2019,2,9,1
CARIBE,3/3/2019,2019,3,10,1
CARIBE,3/10/2019,2019,3,11,0
CARIBE,3/17/2019,2019,3,12,1
CARIBE,3/24/2019,2019,3,13,2
CARIBE,3/31/2019,2019,3,14,0
CARIBE,4/7/2019,2019,4,15,1
CARIBE,4/14/2019,2019,4,16,3
CARIBE,4/21/2019,2019,4,17,2
CARIBE,4/28/2019,2019,4,18,1
CARIBE,5/5/2019,2019,5,19,2
CARIBE,5/12/2019,2019,5,20,1
CARIBE,5/19/2019,2019,5,21,1
CARIBE,5/26/2019,2019,5,22,2
CARIBE,6/2/2019,2019,6,23,1
CARIBE,6/9/2019,2019,6,24,1
CARIBE,6/16/2019,2019,6,25,0
CARIBE,6/23/2019,2019,6,26,0
CARIBE,6/30/2019,2019,6,27,1
CARIBE,7/7/2019,2019,7,28,3
CARIBE,7/14/2019,2019,7,29,1
CARIBE,7/21/2019,2019,7,30,2
CARIBE,7/28/2019,2019,7,31,1
CARIBE,8/4/2019,2019,8,32,0
CARIBE,8/11/2019,2019,8,33,2
CARIBE,8/18/2019,2019,8,34,1
CARIBE,8/25/2019,2019,8,35,2
CARIBE,9/1/2019,2019,9,36,0
CARIBE,9/8/2019,2019,9,37,1
CARIBE,9/15/2019,2019,9,38,1
CARIBE,9/22/2019,2019,9,39,2
CARIBE,9/29/2019,2019,9,40,1
CARIBE,10/6/2019,2019,10,41,1
CARIBE,10/13/2019,2019,10,42,2
CARIBE,10/20/2019,2019,10,43,1
CARIBE,10/27/2019,2019,10,44,0
CARIBE,11/3/2019,2019,11,45,1
CARIBE,11/10/2019,2019,11,46,1
CARIBE,11/17/2019,2019,11,47,0
CARIBE,11/24/2019,2019,11,48,0
CARIBE,12/1/2019,2019,12,49,3
CARIBE,12/8/2019,2019,12,50,1
CARIBE,12/15/2019,2019,12,51,2
CARIBE,12/22/2019,2019,12,52,1
CARIBE,1/1/2020,2020,1,1,2
CARIBE,1/5/2020,2020,1,2,1
CARIBE,1/12/2020,2020,1,3,1
CARIBE,1/19/2020,2020,1,4,1
CARIBE,1/26/2020,2020,1,5,0
CARIBE,2/2/2020,2020,2,6,1
CARIBE,2/9/2020,2020,2,7,0
CARIBE,2/16/2020,2020,2,8,0
ORINOQUIA,1/1/2018,2018,1,1,0
ORINOQUIA,1/7/2018,2018,1,2,0
ORINOQUIA,1/14/2018,2018,1,3,1
ORINOQUIA,1/21/2018,2018,1,4,0
ORINOQUIA,1/28/2018,2018,1,5,2
ORINOQUIA,2/4/2018,2018,2,6,0
ORINOQUIA,2/11/2018,2018,2,7,1
ORINOQUIA,2/18/2018,2018,2,8,0
ORINOQUIA,2/25/2018,2018,2,9,2
ORINOQUIA,3/4/2018,2018,3,10,3
ORINOQUIA,3/11/2018,2018,3,11,1
ORINOQUIA,3/18/2018,2018,3,12,1
ORINOQUIA,3/25/2018,2018,3,13,0
ORINOQUIA,4/1/2018,2018,4,14,0
ORINOQUIA,4/8/2018,2018,4,15,0
ORINOQUIA,4/15/2018,2018,4,16,1
ORINOQUIA,4/22/2018,2018,4,17,0
ORINOQUIA,4/29/2018,2018,4,18,0
ORINOQUIA,5/6/2018,2018,5,19,2
ORINOQUIA,5/13/2018,2018,5,20,1
ORINOQUIA,5/20/2018,2018,5,21,1
ORINOQUIA,5/27/2018,2018,5,22,0
ORINOQUIA,6/3/2018,2018,6,23,0
ORINOQUIA,6/10/2018,2018,6,24,0
ORINOQUIA,6/17/2018,2018,6,25,1
ORINOQUIA,6/24/2018,2018,6,26,0
ORINOQUIA,7/1/2018,2018,7,27,1
ORINOQUIA,7/8/2018,2018,7,28,3
ORINOQUIA,7/15/2018,2018,7,29,1
ORINOQUIA,7/22/2018,2018,7,30,1
ORINOQUIA,7/29/2018,2018,7,31,0
ORINOQUIA,8/5/2018,2018,8,32,0
ORINOQUIA,8/12/2018,2018,8,33,0
ORINOQUIA,8/19/2018,2018,8,34,0
ORINOQUIA,8/26/2018,2018,8,35,1
ORINOQUIA,9/2/2018,2018,9,36,1
ORINOQUIA,9/9/2018,2018,9,37,0
ORINOQUIA,9/16/2018,2018,9,38,0
ORINOQUIA,9/23/2018,2018,9,39,0
ORINOQUIA,9/30/2018,2018,9,40,1
ORINOQUIA,10/7/2018,2018,10,41,0
ORINOQUIA,10/14/2018,2018,10,42,0
ORINOQUIA,10/21/2018,2018,10,43,0
ORINOQUIA,10/28/2018,2018,10,44,0
ORINOQUIA,11/4/2018,2018,11,45,0
ORINOQUIA,11/11/2018,2018,11,46,0
ORINOQUIA,11/18/2018,2018,11,47,1
ORINOQUIA,11/25/2018,2018,11,48,1
ORINOQUIA,12/2/2018,2018,12,49,1
ORINOQUIA,12/9/2018,2018,12,50,0
ORINOQUIA,12/16/2018,2018,12,51,1
ORINOQUIA,12/23/2018,2018,12,52,1
ORINOQUIA,1/1/2019,2019,1,1,0
ORINOQUIA,1/6/2019,2019,1,2,1
ORINOQUIA,1/13/2019,2019,1,3,0
ORINOQUIA,1/20/2019,2019,1,4,0
ORINOQUIA,1/27/2019,2019,1,5,0
ORINOQUIA,2/3/2019,2019,2,6,0
ORINOQUIA,2/10/2019,2019,2,7,1
ORINOQUIA,2/17/2019,2019,2,8,0
ORINOQUIA,2/24/2019,2019,2,9,0
ORINOQUIA,3/3/2019,2019,3,10,0
ORINOQUIA,3/10/2019,2019,3,11,0
ORINOQUIA,3/17/2019,2019,3,12,0
ORINOQUIA,3/24/2019,2019,3,13,1
ORINOQUIA,3/31/2019,2019,3,14,0
ORINOQUIA,4/7/2019,2019,4,15,1
ORINOQUIA,4/14/2019,2019,4,16,0
ORINOQUIA,4/21/2019,2019,4,17,0
ORINOQUIA,4/28/2019,2019,4,18,0
ORINOQUIA,5/5/2019,2019,5,19,0
ORINOQUIA,5/12/2019,2019,5,20,0
ORINOQUIA,5/19/2019,2019,5,21,1
ORINOQUIA,5/26/2019,2019,5,22,0
ORINOQUIA,6/2/2019,2019,6,23,0
ORINOQUIA,6/9/2019,2019,6,24,0
ORINOQUIA,6/16/2019,2019,6,25,0
ORINOQUIA,6/23/2019,2019,6,26,0
ORINOQUIA,6/30/2019,2019,6,27,1
ORINOQUIA,7/7/2019,2019,7,28,0
ORINOQUIA,7/14/2019,2019,7,29,0
ORINOQUIA,7/21/2019,2019,7,30,1
ORINOQUIA,7/28/2019,2019,7,31,0
ORINOQUIA,8/4/2019,2019,8,32,0
ORINOQUIA,8/11/2019,2019,8,33,1
ORINOQUIA,8/18/2019,2019,8,34,0
ORINOQUIA,8/25/2019,2019,8,35,0
ORINOQUIA,9/1/2019,2019,9,36,0
ORINOQUIA,9/8/2019,2019,9,37,0
ORINOQUIA,9/15/2019,2019,9,38,1
ORINOQUIA,9/22/2019,2019,9,39,0
ORINOQUIA,9/29/2019,2019,9,40,0
ORINOQUIA,10/6/2019,2019,10,41,0
ORINOQUIA,10/13/2019,2019,10,42,0
ORINOQUIA,10/20/2019,2019,10,43,1
ORINOQUIA,10/27/2019,2019,10,44,1
ORINOQUIA,11/3/2019,2019,11,45,0
ORINOQUIA,11/10/2019,2019,11,46,0
ORINOQUIA,11/17/2019,2019,11,47,1
ORINOQUIA,11/24/2019,2019,11,48,0
ORINOQUIA,12/1/2019,2019,12,49,0
ORINOQUIA,12/8/2019,2019,12,50,0
ORINOQUIA,12/15/2019,2019,12,51,0
ORINOQUIA,12/22/2019,2019,12,52,0
ORINOQUIA,1/1/2020,2020,1,1,0
ORINOQUIA,1/5/2020,2020,1,2,1
