date,year,month,week,period,value
12/2/2018,2018,12,49,13,185
12/9/2018,2018,12,50,13,181
12/16/2018,2018,12,51,13,202
12/23/2018,2018,12,52,13,176
12/30/2018,2019,1,1,1,155
1/6/2019,2019,1,2,1,180
1/13/2019,2019,1,3,1,187
1/20/2019,2019,1,4,1,172
1/27/2019,2019,1,5,2,148
2/3/2019,2019,2,6,2,183
2/10/2019,2019,2,7,2,169
2/17/2019,2019,2,8,2,193
2/24/2019,2019,2,9,3,184
3/3/2019,2019,3,10,3,156
3/10/2019,2019,3,11,3,194
3/17/2019,2019,3,12,3,170
3/24/2019,2019,3,13,4,154
3/31/2019,2019,3,14,4,178
4/7/2019,2019,4,15,4,181
4/14/2019,2019,4,16,4,166
4/21/2019,2019,4,17,5,195
4/28/2019,2019,4,18,5,195
5/5/2019,2019,5,19,5,189
5/12/2019,2019,5,20,5,179
5/19/2019,2019,5,21,6,191
5/26/2019,2019,5,22,6,181
6/2/2019,2019,6,23,6,170
6/9/2019,2019,6,24,6,179
6/16/2019,2019,6,25,7,184
6/23/2019,2019,6,26,7,185
6/30/2019,2019,6,27,7,176
7/7/2019,2019,7,28,7,169
7/14/2019,2019,7,29,8,182
7/21/2019,2019,7,30,8,198
7/28/2019,2019,7,31,8,191
8/4/2019,2019,8,32,8,183
8/11/2019,2019,8,33,9,180
8/18/2019,2019,8,34,9,158
8/25/2019,2019,8,35,9,172
9/1/2019,2019,9,36,9,190
9/8/2019,2019,9,37,10,191
9/15/2019,2019,9,38,10,194
9/22/2019,2019,9,39,10,183
9/29/2019,2019,9,40,10,169
10/6/2019,2019,10,41,11,193
10/13/2019,2019,10,42,11,154
10/20/2019,2019,10,43,11,155
10/27/2019,2019,10,44,11,165
11/3/2019,2019,11,45,12,165
11/10/2019,2019,11,46,12,179
11/17/2019,2019,11,47,12,152
11/24/2019,2019,11,48,12,145
12/1/2019,2019,12,49,13,146
12/8/2019,2019,12,50,13,155
12/15/2019,2019,12,51,13,129
12/22/2019,2019,12,52,13,136
12/29/2019,2020,1,1,1,167
1/5/2020,2020,1,2,1,167
1/12/2020,2020,1,3,1,169
1/19/2020,2020,1,4,1,149
1/26/2020,2020,1,5,2,157
2/2/2020,2020,2,6,2,160
2/9/2020,2020,2,7,2,144
2/16/2020,2020,2,8,2,129
2/23/2020,2020,2,9,3,161
3/1/2020,2020,3,10,3,121
3/8/2020,2020,3,11,3,122
3/15/2020,2020,3,12,3,152
3/22/2020,2020,3,13,4,133
3/29/2020,2020,3,14,4,102
4/5/2020,2020,4,15,4,117
4/12/2020,2020,4,16,4,122
