Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
11/12/2017,0,20,5,20,30,12,5,1,0,2,5,2,6,11,3,0,1,6,3,7,6,8,6,0,1,4,0,10,4,3,17,1,0
11/19/2017,0,14,0,15,29,7,4,4,2,1,9,5,4,10,7,0,1,4,7,7,5,3,9,0,1,4,0,5,2,2,20,0,0
11/26/2017,0,19,3,10,26,15,2,3,3,1,8,7,2,12,7,2,1,3,8,7,1,8,11,1,3,1,0,6,2,3,16,0,1
12/3/2017,2,23,1,17,33,11,5,1,3,2,9,8,5,11,5,0,0,7,4,7,1,5,11,1,0,1,1,3,5,6,15,1,0
12/10/2017,0,21,2,18,31,7,2,2,0,1,7,9,5,10,7,0,0,2,5,4,3,11,8,2,2,2,0,4,5,1,19,0,0
12/17/2017,0,29,2,9,35,16,5,3,1,2,9,7,6,12,8,0,0,7,4,7,3,7,7,3,5,0,0,6,2,2,15,0,1
12/24/2017,1,23,0,13,24,14,3,3,0,0,7,10,4,9,8,0,0,2,6,4,3,13,7,1,1,1,1,12,5,2,17,1,0
1/1/2018,1,27,3,16,29,10,5,0,1,2,5,5,3,8,5,1,0,5,14,8,1,5,4,3,1,1,0,9,5,4,13,0,1
1/7/2018,0,17,3,7,25,6,4,1,4,1,7,7,5,10,7,1,0,2,3,10,3,5,8,2,0,3,1,5,3,7,14,0,3
1/14/2018,0,23,2,15,34,7,5,1,2,3,4,12,7,11,6,1,1,5,5,9,4,4,1,0,2,3,0,3,4,3,18,0,2
1/21/2018,1,15,4,10,23,9,0,4,6,1,5,13,1,12,3,0,1,2,4,6,0,6,4,1,1,3,2,7,3,4,10,0,0
1/28/2018,0,24,3,13,27,8,4,4,5,0,9,4,1,7,3,1,1,4,9,8,3,3,8,2,2,3,0,5,5,9,13,0,2
2/4/2018,0,20,3,14,29,7,1,2,5,1,6,5,2,9,6,0,0,7,4,10,5,5,3,1,1,2,0,5,3,3,11,0,0
