date,year,month,week,period,value
8/19/2018,2018,8,34,9,6
8/26/2018,2018,8,35,9,13
9/2/2018,2018,9,36,9,13
9/9/2018,2018,9,37,10,14
9/16/2018,2018,9,38,10,14
9/23/2018,2018,9,39,10,10
9/30/2018,2018,9,40,10,7
10/7/2018,2018,10,41,11,10
10/14/2018,2018,10,42,11,9
10/21/2018,2018,10,43,11,14
10/28/2018,2018,10,44,11,11
11/4/2018,2018,11,45,12,9
11/11/2018,2018,11,46,12,8
11/18/2018,2018,11,47,12,3
11/25/2018,2018,11,48,12,12
12/2/2018,2018,12,49,13,7
12/9/2018,2018,12,50,13,14
12/16/2018,2018,12,51,13,3
12/23/2018,2018,12,52,13,7
12/30/2018,2019,1,1,1,8
1/6/2019,2019,1,2,1,7
1/13/2019,2019,1,3,1,4
1/20/2019,2019,1,4,1,9
1/27/2019,2019,1,5,2,7
2/3/2019,2019,2,6,2,6
2/10/2019,2019,2,7,2,8
2/17/2019,2019,2,8,2,3
2/24/2019,2019,2,9,3,3
3/3/2019,2019,3,10,3,7
3/10/2019,2019,3,11,3,4
3/17/2019,2019,3,12,3,9
3/24/2019,2019,3,13,4,5
3/31/2019,2019,3,14,4,4
4/7/2019,2019,4,15,4,3
4/14/2019,2019,4,16,4,5
4/21/2019,2019,4,17,5,4
4/28/2019,2019,4,18,5,5
5/5/2019,2019,5,19,5,7
5/12/2019,2019,5,20,5,6
5/19/2019,2019,5,21,6,5
5/26/2019,2019,5,22,6,3
6/2/2019,2019,6,23,6,4
6/9/2019,2019,6,24,6,4
6/16/2019,2019,6,25,7,2
6/23/2019,2019,6,26,7,5
6/30/2019,2019,6,27,7,5
7/7/2019,2019,7,28,7,7
7/14/2019,2019,7,29,8,3
7/21/2019,2019,7,30,8,13
7/28/2019,2019,7,31,8,7
8/4/2019,2019,8,32,8,5
8/11/2019,2019,8,33,9,5
8/18/2019,2019,8,34,9,2
8/25/2019,2019,8,35,9,5
9/1/2019,2019,9,36,9,1
9/8/2019,2019,9,37,10,6
9/15/2019,2019,9,38,10,7
9/22/2019,2019,9,39,10,8
9/29/2019,2019,9,40,10,6
10/6/2019,2019,10,41,11,6
10/13/2019,2019,10,42,11,5
10/20/2019,2019,10,43,11,5
10/27/2019,2019,10,44,11,6
11/3/2019,2019,11,45,12,11
11/10/2019,2019,11,46,12,5
11/17/2019,2019,11,47,12,5
11/24/2019,2019,11,48,12,4
12/1/2019,2019,12,49,13,8
12/8/2019,2019,12,50,13,4
12/15/2019,2019,12,51,13,8
12/22/2019,2019,12,52,13,4
12/29/2019,2020,1,1,1,7
1/5/2020,2020,1,2,1,6
1/12/2020,2020,1,3,1,5
1/19/2020,2020,1,4,1,6
1/26/2020,2020,1,5,2,4
2/2/2020,2020,2,6,2,6
2/9/2020,2020,2,7,2,4
2/16/2020,2020,2,8,2,7
2/23/2020,2020,2,9,3,6
3/1/2020,2020,3,10,3,5
3/8/2020,2020,3,11,3,6
3/15/2020,2020,3,12,3,6
3/22/2020,2020,3,13,4,7
3/29/2020,2020,3,14,4,5
4/5/2020,2020,4,15,4,8
4/12/2020,2020,4,16,4,7
