date,year,month,week,period,value
2/18/2018,2018,2,8,2,560
2/25/2018,2018,2,9,3,597
3/4/2018,2018,3,10,3,667
3/11/2018,2018,3,11,3,620
3/18/2018,2018,3,12,3,607
3/25/2018,2018,3,13,4,536
4/1/2018,2018,4,14,4,548
4/8/2018,2018,4,15,4,616
4/15/2018,2018,4,16,4,609
4/22/2018,2018,4,17,5,628
4/29/2018,2018,4,18,5,607
5/6/2018,2018,5,19,5,567
5/13/2018,2018,5,20,5,514
5/20/2018,2018,5,21,6,565
5/27/2018,2018,5,22,6,588
6/3/2018,2018,6,23,6,535
6/10/2018,2018,6,24,6,582
6/17/2018,2018,6,25,7,518
6/24/2018,2018,6,26,7,525
7/1/2018,2018,7,27,7,525
7/8/2018,2018,7,28,7,510
7/15/2018,2018,7,29,8,586
7/22/2018,2018,7,30,8,567
7/29/2018,2018,7,31,8,571
8/5/2018,2018,8,32,8,603
8/12/2018,2018,8,33,9,581
8/19/2018,2018,8,34,9,599
8/26/2018,2018,8,35,9,615
9/2/2018,2018,9,36,9,594
9/9/2018,2018,9,37,10,600
9/16/2018,2018,9,38,10,645
9/23/2018,2018,9,39,10,548
9/30/2018,2018,9,40,10,510
10/7/2018,2018,10,41,11,539
10/14/2018,2018,10,42,11,557
10/21/2018,2018,10,43,11,577
10/28/2018,2018,10,44,11,587
11/4/2018,2018,11,45,12,534
11/11/2018,2018,11,46,12,556
11/18/2018,2018,11,47,12,580
11/25/2018,2018,11,48,12,544
12/2/2018,2018,12,49,13,481
12/9/2018,2018,12,50,13,501
12/16/2018,2018,12,51,13,422
12/23/2018,2018,12,52,13,428
12/30/2018,2019,1,1,1,440
1/6/2019,2019,1,2,1,460
1/13/2019,2019,1,3,1,438
1/20/2019,2019,1,4,1,489
1/27/2019,2019,1,5,2,453
2/3/2019,2019,2,6,2,516
2/10/2019,2019,2,7,2,586
2/17/2019,2019,2,8,2,560
2/24/2019,2019,2,9,3,586
3/3/2019,2019,3,10,3,635
3/10/2019,2019,3,11,3,742
3/17/2019,2019,3,12,3,649
3/24/2019,2019,3,13,4,575
3/31/2019,2019,3,14,4,688
4/7/2019,2019,4,15,4,719
4/14/2019,2019,4,16,4,477
4/21/2019,2019,4,17,5,598
4/28/2019,2019,4,18,5,607
5/5/2019,2019,5,19,5,581
5/12/2019,2019,5,20,5,600
5/19/2019,2019,5,21,6,632
5/26/2019,2019,5,22,6,533
6/2/2019,2019,6,23,6,580
6/9/2019,2019,6,24,6,637
6/16/2019,2019,6,25,7,574
6/23/2019,2019,6,26,7,522
6/30/2019,2019,6,27,7,495
7/7/2019,2019,7,28,7,604
7/14/2019,2019,7,29,8,590
7/21/2019,2019,7,30,8,612
7/28/2019,2019,7,31,8,572
8/4/2019,2019,8,32,8,597
8/11/2019,2019,8,33,9,592
8/18/2019,2019,8,34,9,597
8/25/2019,2019,8,35,9,587
9/1/2019,2019,9,36,9,698
9/8/2019,2019,9,37,10,698
9/15/2019,2019,9,38,10,648
9/22/2019,2019,9,39,10,611
9/29/2019,2019,9,40,10,631
10/6/2019,2019,10,41,11,539
10/13/2019,2019,10,42,11,570
10/20/2019,2019,10,43,11,635
10/27/2019,2019,10,44,11,639
11/3/2019,2019,11,45,12,664
11/10/2019,2019,11,46,12,601
11/17/2019,2019,11,47,12,614
11/24/2019,2019,11,48,12,560
12/1/2019,2019,12,49,13,631
12/8/2019,2019,12,50,13,611
12/15/2019,2019,12,51,13,517
12/22/2019,2019,12,52,13,487
12/29/2019,2020,1,1,1,553
1/5/2020,2020,1,2,1,525
1/12/2020,2020,1,3,1,543
1/19/2020,2020,1,4,1,487
1/26/2020,2020,1,5,2,588
2/2/2020,2020,2,6,2,609
2/9/2020,2020,2,7,2,583
2/16/2020,2020,2,8,2,653
2/23/2020,2020,2,9,3,678
3/1/2020,2020,3,10,3,700
3/8/2020,2020,3,11,3,654
3/15/2020,2020,3,12,3,519
3/22/2020,2020,3,13,4,362
3/29/2020,2020,3,14,4,302
4/5/2020,2020,4,15,4,321
4/12/2020,2020,4,16,4,357
