exec_date,date,entity,year,period,value,forecast,ci_inf,ci_sup
2020-11-13 13:00:22.845705,2017-02-26,11001,2017.0,3.0,56659,,,
2020-11-13 13:00:22.845705,2017-02-26,13000,2017.0,3.0,6254,,,
2020-11-13 13:00:22.845705,2017-02-26,13001,2017.0,3.0,3517,,,
2020-11-13 13:00:22.845705,2017-02-26,15000,2017.0,3.0,4684,,,
2020-11-13 13:00:22.845705,2017-02-26,15001,2017.0,3.0,816,,,
2020-11-13 13:00:22.845705,2017-02-26,17000,2017.0,3.0,3135,,,
2020-11-13 13:00:22.845705,2017-02-26,17001,2017.0,3.0,2168,,,
2020-11-13 13:00:22.845705,2017-02-26,18000,2017.0,3.0,1873,,,
2020-11-13 13:00:22.845705,2017-02-26,18001,2017.0,3.0,1080,,,
2020-11-13 13:00:22.845705,2017-02-26,19000,2017.0,3.0,5501,,,
2020-11-13 13:00:22.845705,2017-02-26,19001,2017.0,3.0,1081,,,
2020-11-13 13:00:22.845705,2017-02-26,20000,2017.0,3.0,4805,,,
2020-11-13 13:00:22.845705,2017-02-26,20001,2017.0,3.0,2983,,,
2020-11-13 13:00:22.845705,2017-02-26,23000,2017.0,3.0,4817,,,
2020-11-13 13:00:22.845705,2017-02-26,23001,2017.0,3.0,1518,,,
2020-11-13 13:00:22.845705,2017-02-26,25000,2017.0,3.0,11109,,,
2020-11-13 13:00:22.845705,2017-02-26,27000,2017.0,3.0,940,,,
2020-11-13 13:00:22.845705,2017-02-26,27001,2017.0,3.0,517,,,
2020-11-13 13:00:22.845705,2017-02-26,41000,2017.0,3.0,5351,,,
2020-11-13 13:00:22.845705,2017-02-26,41001,2017.0,3.0,2437,,,
2020-11-13 13:00:22.845705,2017-02-26,44000,2017.0,3.0,4559,,,
2020-11-13 13:00:22.845705,2017-02-26,44001,2017.0,3.0,1453,,,
2020-11-13 13:00:22.845705,2017-02-26,47000,2017.0,3.0,4916,,,
2020-11-13 13:00:22.845705,2017-02-26,47001,2017.0,3.0,1356,,,
2020-11-13 13:00:22.845705,2017-02-26,50000,2017.0,3.0,3612,,,
2020-11-13 13:00:22.845705,2017-02-26,50001,2017.0,3.0,2279,,,
2020-11-13 13:00:22.845705,2017-02-26,52000,2017.0,3.0,6541,,,
2020-11-13 13:00:22.845705,2017-02-26,52001,2017.0,3.0,2381,,,
2020-11-13 13:00:22.845705,2017-02-26,54000,2017.0,3.0,5462,,,
2020-11-13 13:00:22.845705,2017-02-26,54001,2017.0,3.0,3411,,,
2020-11-13 13:00:22.845705,2017-02-26,63000,2017.0,3.0,3072,,,
2020-11-13 13:00:22.845705,2017-02-26,63001,2017.0,3.0,1888,,,
2020-11-13 13:00:22.845705,2017-02-26,66000,2017.0,3.0,3788,,,
2020-11-13 13:00:22.845705,2017-02-26,66001,2017.0,3.0,2493,,,
2020-11-13 13:00:22.845705,2017-02-26,68000,2017.0,3.0,8021,,,
2020-11-13 13:00:22.845705,2017-02-26,68001,2017.0,3.0,4130,,,
2020-11-13 13:00:22.845705,2017-02-26,70000,2017.0,3.0,2812,,,
2020-11-13 13:00:22.845705,2017-02-26,70001,2017.0,3.0,852,,,
2020-11-13 13:00:22.845705,2017-02-26,73000,2017.0,3.0,6973,,,
2020-11-13 13:00:22.845705,2017-02-26,73001,2017.0,3.0,4495,,,
2020-11-13 13:00:22.845705,2017-02-26,76000,2017.0,3.0,24736,,,
2020-11-13 13:00:22.845705,2017-02-26,76001,2017.0,3.0,16271,,,
2020-11-13 13:00:22.845705,2017-02-26,81000,2017.0,3.0,652,,,
2020-11-13 13:00:22.845705,2017-02-26,81001,2017.0,3.0,161,,,
2020-11-13 13:00:22.845705,2017-02-26,85000,2017.0,3.0,936,,,
2020-11-13 13:00:22.845705,2017-02-26,85001,2017.0,3.0,357,,,
2020-11-13 13:00:22.845705,2017-02-26,86000,2017.0,3.0,1118,,,
2020-11-13 13:00:22.845705,2017-02-26,86001,2017.0,3.0,193,,,
2020-11-13 13:00:22.845705,2017-02-26,88000,2017.0,3.0,420,,,
2020-11-13 13:00:22.845705,2017-02-26,88001,2017.0,3.0,408,,,
2020-11-13 13:00:22.845705,2017-02-26,91000,2017.0,3.0,453,,,
2020-11-13 13:00:22.845705,2017-02-26,91001,2017.0,3.0,314,,,
2020-11-13 13:00:22.845705,2017-02-26,94000,2017.0,3.0,100,,,
2020-11-13 13:00:22.845705,2017-02-26,94001,2017.0,3.0,95,,,
2020-11-13 13:00:22.845705,2017-02-26,95000,2017.0,3.0,303,,,
2020-11-13 13:00:22.845705,2017-02-26,95001,2017.0,3.0,211,,,
2020-11-13 13:00:22.845705,2017-02-26,97000,2017.0,3.0,65,,,
2020-11-13 13:00:22.845705,2017-02-26,97001,2017.0,3.0,53,,,
2020-11-13 13:00:22.845705,2017-02-26,99000,2017.0,3.0,170,,,
2020-11-13 13:00:22.845705,2017-02-26,99001,2017.0,3.0,89,,,
2020-11-13 13:00:22.845705,2017-03-26,00000,2017.0,4.0,235367,,,
2020-11-13 13:00:22.845705,2017-03-26,05000,2017.0,4.0,36334,,,
2020-11-13 13:00:22.845705,2017-03-26,05001,2017.0,4.0,21974,,,
2020-11-13 13:00:22.845705,2017-03-26,08000,2017.0,4.0,11649,,,
2020-11-13 13:00:22.845705,2017-03-26,08001,2017.0,4.0,7044,,,
2020-11-13 13:00:22.845705,2017-03-26,11001,2017.0,4.0,64623,,,
2020-11-13 13:00:22.845705,2017-03-26,13000,2017.0,4.0,6882,,,
2020-11-13 13:00:22.845705,2017-03-26,13001,2017.0,4.0,4125,,,
2020-11-13 13:00:22.845705,2017-03-26,15000,2017.0,4.0,4576,,,
2020-11-13 13:00:22.845705,2017-03-26,15001,2017.0,4.0,801,,,
2020-11-13 13:00:22.845705,2017-03-26,17000,2017.0,4.0,3097,,,
2020-11-13 13:00:22.845705,2017-03-26,17001,2017.0,4.0,2143,,,
2020-11-13 13:00:22.845705,2017-03-26,18000,2017.0,4.0,1679,,,
2020-11-13 13:00:22.845705,2017-03-26,18001,2017.0,4.0,1004,,,
2020-11-13 13:00:22.845705,2017-03-26,19000,2017.0,4.0,4646,,,
2020-11-13 13:00:22.845705,2017-03-26,19001,2017.0,4.0,1152,,,
2020-11-13 13:00:22.845705,2017-03-26,20000,2017.0,4.0,4539,,,
2020-11-13 13:00:22.845705,2017-03-26,20001,2017.0,4.0,2400,,,
2020-11-13 13:00:22.845705,2017-03-26,23000,2017.0,4.0,4489,,,
2020-11-13 13:00:22.845705,2017-03-26,23001,2017.0,4.0,1531,,,
2020-11-13 13:00:22.845705,2017-03-26,25000,2017.0,4.0,11277,,,
2020-11-13 13:00:22.845705,2017-03-26,27000,2017.0,4.0,664,,,
2020-11-13 13:00:22.845705,2017-03-26,27001,2017.0,4.0,407,,,
2020-11-13 13:00:22.845705,2017-03-26,41000,2017.0,4.0,4677,,,
2020-11-13 13:00:22.845705,2017-03-26,41001,2017.0,4.0,2139,,,
2020-11-13 13:00:22.845705,2017-03-26,44000,2017.0,4.0,4900,,,
2020-11-13 13:00:22.845705,2017-03-26,44001,2017.0,4.0,1667,,,
2020-11-13 13:00:22.845705,2017-03-26,47000,2017.0,4.0,5595,,,
2020-11-13 13:00:22.845705,2017-03-26,47001,2017.0,4.0,1654,,,
2020-11-13 13:00:22.845705,2017-03-26,50000,2017.0,4.0,3531,,,
2020-11-13 13:00:22.845705,2017-03-26,50001,2017.0,4.0,2374,,,
2020-11-13 13:00:22.845705,2017-03-26,52000,2017.0,4.0,6642,,,
2020-11-13 13:00:22.845705,2017-03-26,52001,2017.0,4.0,2734,,,
2020-11-13 13:00:22.845705,2017-03-26,54000,2017.0,4.0,5856,,,
2020-11-13 13:00:22.845705,2017-03-26,54001,2017.0,4.0,3921,,,
2020-11-13 13:00:22.845705,2017-03-26,63000,2017.0,4.0,2965,,,
2020-11-13 13:00:22.845705,2017-03-26,63001,2017.0,4.0,1970,,,
2020-11-13 13:00:22.845705,2017-03-26,66000,2017.0,4.0,3916,,,
2020-11-13 13:00:22.845705,2017-03-26,66001,2017.0,4.0,2630,,,
2020-11-13 13:00:22.845705,2017-03-26,68000,2017.0,4.0,5434,,,
2020-11-13 13:00:22.845705,2017-03-26,68001,2017.0,4.0,2491,,,
2020-11-13 13:00:22.845705,2017-03-26,70000,2017.0,4.0,2980,,,
2020-11-13 13:00:22.845705,2017-03-26,70001,2017.0,4.0,895,,,
2020-11-13 13:00:22.845705,2017-03-26,73000,2017.0,4.0,7097,,,
2020-11-13 13:00:22.845705,2017-03-26,73001,2017.0,4.0,4783,,,
