date,entity,year,period,value,forecast,ci_inf,ci_sup
2020-07-12,41000,2020.0,4.0,,41,32.37907264921415,50.25004640543847
2020-07-12,41001,2020.0,4.0,,19,11.799615799812674,26.84232769402111
2020-07-12,44000,2020.0,4.0,,18,13.09262464129295,23.179131187670144
2020-07-12,44001,2020.0,4.0,,5,1.4665678972719083,7.6010285368573385
2020-07-12,47000,2020.0,4.0,,41,38.62366820124163,42.64649201983792
2020-07-12,47001,2020.0,4.0,,17,10.744942736639441,22.3050093419026
2020-07-12,50000,2020.0,4.0,,31,17.33039144173366,43.76691460364848
2020-07-12,50001,2020.0,4.0,,0,0.0,10.547714576407353
2020-07-12,52000,2020.0,4.0,,36,0.9165124577212609,71.11074876058018
2020-07-12,52001,2020.0,4.0,,32,20.584707551975235,42.83899309712677
2020-07-12,54000,2020.0,4.0,,71,55.20078433092594,87.48470351427154
2020-07-12,54001,2020.0,4.0,,23,14.060695889664823,32.790910385509605
2020-07-12,63000,2020.0,4.0,,28,13.218344881592326,43.68252815046648
2020-07-12,63001,2020.0,4.0,,21,15.368281706518438,26.362753324833044
2020-07-12,66000,2020.0,4.0,,55,31.4769916172946,79.34285963363465
2020-07-12,66001,2020.0,4.0,,28,15.797830516415042,39.390057867675786
2020-07-12,68000,2020.0,4.0,,48,33.10414751575293,63.83629886966129
2020-07-12,68001,2020.0,4.0,,27,19.726768949616748,33.59414200195651
2020-07-12,70000,2020.0,4.0,,30,0.0,1010597547.53198
2020-07-12,70001,2020.0,4.0,,4,1.5934860449638375,6.87326672122026
2020-07-12,73000,2020.0,4.0,,77,49.27087984412201,104.36234837231176
2020-07-12,73001,2020.0,4.0,,39,0.0,2124245852.281143
2020-07-12,76000,2020.0,4.0,,60,0.0,141.88853098671856
2020-07-12,76001,2020.0,4.0,,113,77.3018508051467,148.49336006875208
2020-07-12,81000,2020.0,4.0,,3,0.0,15.594339528193967
2020-07-12,81001,2020.0,4.0,,2,0.0,6.329467211971892
2020-07-12,85000,2020.0,4.0,,23,18.623579523834376,28.059036488326054
2020-07-12,85001,2020.0,4.0,,2,0.0,7.506370541773132
2020-07-12,86000,2020.0,4.0,,19,3.8648214657575934,34.5130219075332
2020-07-12,86001,2020.0,4.0,,4,0.0,11.419454953595599
2020-07-12,88000,2020.0,4.0,,0,0.0,1.7657251300158303
2020-07-12,88001,2020.0,4.0,,0,0.0,1.3026512241773012
2020-07-12,91000,2020.0,4.0,,5,1.5650416052759017,8.434952943948874
2020-07-12,91001,2020.0,4.0,,6,3.5112048229250044,7.719457396709071
2020-07-12,94000,2020.0,4.0,,0,0.0,7894918356.9635935
2020-07-12,94001,2020.0,4.0,,1,0.0,3.4331787456967615
2020-07-12,95000,2020.0,4.0,,4,1.2651240891497255,6.275630889056231
2020-07-12,95001,2020.0,4.0,,5,1.453792889620516,7.624457551717962
2020-07-12,97000,2020.0,4.0,,6,0.1683203253676444,11.145299878187846
2020-07-12,97001,2020.0,4.0,,5,2.9893770596111287,7.796762468896046
2020-07-12,99000,2020.0,4.0,,0,0.0,3.1267782460205082
2020-07-12,99001,2020.0,4.0,,0,0.0,0.0
2020-08-09,00000,2020.0,5.0,,0,0.0,0.0
2020-08-09,05000,2020.0,5.0,,216,111.9749218194802,319.4150324278489
2020-08-09,05001,2020.0,5.0,,145,93.65019525116836,196.7435639050656
2020-08-09,08000,2020.0,5.0,,79,47.7903582024354,110.56113751880706
2020-08-09,08001,2020.0,5.0,,37,15.389320006332966,57.617916045002616
2020-08-09,11001,2020.0,5.0,,426,349.9694404951281,502.4600467667706
2020-08-09,13000,2020.0,5.0,,35,6.867773795437941,62.96556448609171
2020-08-09,13001,2020.0,5.0,,0,0.0,0.0
2020-08-09,15000,2020.0,5.0,,41,25.719359597398224,55.41926147836661
2020-08-09,15001,2020.0,5.0,,5,0.0,11.889154980679423
2020-08-09,17000,2020.0,5.0,,107,83.10204606016032,130.98711343307042
