entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13
MANIZALES,2011,1505,1713,1019,1489,1212,1644,1781,1772,2075,1945,3642,1572,1968
MEDELLIN,2011,12487,17507,14508,9100,13297,15371,8895,16701,12694,12196,11369,12021,9448
META,2011,1425,1899,1863,2052,1697,1264,1739,1521,1603,1542,1651,1511,1940
MITU,2011,28,30,52,46,43,52,60,93,86,38,123,136,64
MOCOA,2011,335,377,355,293,213,113,472,271,198,196,192,184,183
MONTERIA,2011,631,613,889,840,1046,586,1020,1241,889,717,1045,850,677
NARIÑO,2011,4006,4891,4219,5265,3101,4379,5024,4745,4254,5678,4269,6430,3668
NEIVA,2011,1781,1887,1694,1500,1148,1414,1669,1343,1595,1512,1401,1195,1907
NORTE DE SANTANDER,2011,1619,2080,1931,2264,1492,1957,1737,1958,1829,1893,1700,1939,1435
PASTO,2011,2340,2243,2531,3226,1931,2912,2560,2356,2428,2427,2156,2318,1604
PEREIRA,2011,1077,1536,1558,2030,667,1237,1600,1333,1257,1560,1376,2164,1586
POPAYAN,2011,352,651,666,1008,944,549,589,342,736,444,1143,945,918
PUERTO CARREÑO,2011,21,32,41,28,20,58,32,20,39,26,19,25,21
PUTUMAYO,2011,724,792,902,938,699,723,661,810,970,942,884,739,625
QUIBDO,2011,176,255,230,196,253,201,264,136,140,172,232,86,199
QUINDIO,2011,1158,1483,1382,1681,1113,1056,1068,1406,1448,3171,1267,1182,1001
RIOHACHA,2011,1144,985,821,917,1098,1161,1200,952,828,950,1059,1356,1413
RISARALDA,2011,1265,1266,1308,1266,657,1018,956,1433,955,1173,1504,1046,975
SAN ANDRES,2011,2,6,5,8,2,4,1,,1,4,2,1,4
SAN ANDRES CAP,2011,152,293,216,196,96,164,188,240,209,174,196,215,220
CUCUTA,2011,3244,3703,3590,4005,2701,3166,2642,3064,3027,2909,2817,2859,2636
SAN JOSE DEL GUAVIARE,2011,212,293,253,273,196,197,200,170,191,162,178,212,172
SANTA MARTA,2011,1273,794,920,537,491,707,1042,606,458,496,446,664,603
SANTANDER,2011,3076,4173,4419,3960,2552,3422,3042,3018,3084,3335,3281,3771,2809
SINCELEJO,2011,1275,1156,1140,1335,864,1226,1033,866,601,923,924,1027,1055
SUCRE,2011,2201,2240,1627,2053,1130,1790,1576,1588,1019,1511,1360,1591,1271
TOLIMA,2011,3093,3924,2325,3458,2651,3060,2903,2625,3235,2818,2804,2600,3967
TUNJA,2011,1804,862,574,1062,902,729,493,672,715,478,709,592,1178
VALLE DEL CAUCA,2011,9610,10335,9006,8936,5517,7649,10233,8940,9138,8396,7749,7521,6633
VALLEDUPAR,2011,2114,2078,1849,1218,2085,2027,2304,797,2274,751,1425,1728,1473
VAUPES,2011,42,37,36,44,22,65,38,97,94,77,37,92,21
VICHADA,2011,14,60,158,94,33,67,89,71,17,184,72,68,
VILLAVICENCIO,2011,805,3339,5170,4499,2863,2884,3317,3315,3129,3565,2941,3307,3760
YOPAL,2011,367,397,384,358,395,262,379,460,297,265,285,252,288
AMAZONAS,2012,102,91,169,126,171,127,217,298,112,105,120,133,107
ANTIOQUIA,2012,21012,12591,13442,14784,12386,15800,17734,18156,19891,19596,17001,13715,7843
ARAUCA,2012,611,579,428,455,445,486,455,421,433,525,559,378,503
ARAUCA CAP,2012,274,260,162,182,201,180,166,106,115,127,202,201,199
ARMENIA,2012,430,1161,2305,5159,3537,3145,1992,2475,3248,3432,2874,3217,8834
ATLANTICO,2012,3099,1675,2600,2791,3635,5229,2455,1830,2319,2094,2473,1836,1207
BARRANQUILLA,2012,1742,1636,1451,1670,1923,1931,1773,1479,1730,1977,2328,1456,1656
BOGOTA DC,2012,20783,33597,48438,48242,42098,43757,46231,49548,51900,59492,58279,46413,59052
BOLIVAR,2012,2700,2257,1914,2170,2909,2864,2767,1734,3064,2462,2060,2706,2735
BOYACA,2012,2245,2986,4109,3539,3096,3553,3009,3314,4112,3475,4077,5502,3024
BUCARAMANGA,2012,1949,2843,2024,1882,2206,1738,1410,2031,2179,2512,2364,2909,2620
CALDAS,2012,1278,971,1006,900,1142,1039,1076,1162,1585,1415,1619,1446,1205
CALI,2012,11502,7556,15802,11656,9476,14619,10652,14284,17141,18808,11585,12504,12917
CAQUETA,2012,771,517,495,811,879,611,666,757,571,784,743,961,820
CARTAGENA,2012,3156,2825,2911,3079,3908,3152,4652,3173,4652,5901,3524,4871,3806
CASANARE,2012,921,659,699,501,796,708,734,630,778,507,691,665,618
