department,date,value
GUAVIARE,7/14/2019,0
HUILA,7/14/2019,6
LA GUAJIRA,7/14/2019,16
MAGDALENA,7/14/2019,9
META,7/14/2019,5
NARIÑO,7/14/2019,5
NORTE SANTANDER,7/14/2019,10
PUTUMAYO,7/14/2019,0
QUINDIO,7/14/2019,0
RISARALDA,7/14/2019,3
SAN ANDRES,7/14/2019,0
SANTANDER,7/14/2019,2
SUCRE,7/14/2019,10
TOLIMA,7/14/2019,4
VALLE DEL CAUCA,7/14/2019,14
VAUPES,7/14/2019,1
VICHADA,7/14/2019,1
AMAZONAS,7/21/2019,0
ANTIOQUIA,7/21/2019,16
ARAUCA,7/21/2019,0
ATLANTICO,7/21/2019,15
BOGOTA,7/21/2019,31
BOLIVAR,7/21/2019,11
BOYACA,7/21/2019,10
CALDAS,7/21/2019,4
CAQUETA,7/21/2019,3
CASANARE,7/21/2019,1
CAUCA,7/21/2019,6
CESAR,7/21/2019,9
CHOCO,7/21/2019,3
CORDOBA,7/21/2019,6
CUNDINAMARCA,7/21/2019,3
GUAINIA,7/21/2019,0
GUAVIARE,7/21/2019,0
HUILA,7/21/2019,4
LA GUAJIRA,7/21/2019,9
MAGDALENA,7/21/2019,11
META,7/21/2019,5
NARIÑO,7/21/2019,5
NORTE SANTANDER,7/21/2019,3
PUTUMAYO,7/21/2019,0
QUINDIO,7/21/2019,3
RISARALDA,7/21/2019,0
SAN ANDRES,7/21/2019,1
SANTANDER,7/21/2019,8
SUCRE,7/21/2019,9
TOLIMA,7/21/2019,8
VALLE DEL CAUCA,7/21/2019,14
VAUPES,7/21/2019,0
VICHADA,7/21/2019,0
AMAZONAS,7/28/2019,1
ANTIOQUIA,7/28/2019,22
ARAUCA,7/28/2019,0
ATLANTICO,7/28/2019,18
BOGOTA,7/28/2019,21
BOLIVAR,7/28/2019,14
BOYACA,7/28/2019,2
CALDAS,7/28/2019,4
CAQUETA,7/28/2019,0
CASANARE,7/28/2019,2
CAUCA,7/28/2019,7
CESAR,7/28/2019,8
CHOCO,7/28/2019,1
CORDOBA,7/28/2019,13
CUNDINAMARCA,7/28/2019,7
GUAINIA,7/28/2019,0
GUAVIARE,7/28/2019,0
HUILA,7/28/2019,1
LA GUAJIRA,7/28/2019,15
MAGDALENA,7/28/2019,11
META,7/28/2019,4
NARIÑO,7/28/2019,6
NORTE SANTANDER,7/28/2019,7
PUTUMAYO,7/28/2019,1
QUINDIO,7/28/2019,2
RISARALDA,7/28/2019,4
SAN ANDRES,7/28/2019,0
SANTANDER,7/28/2019,3
SUCRE,7/28/2019,6
TOLIMA,7/28/2019,1
VALLE DEL CAUCA,7/28/2019,8
VAUPES,7/28/2019,0
VICHADA,7/28/2019,2
AMAZONAS,8/4/2019,0
ANTIOQUIA,8/4/2019,26
ARAUCA,8/4/2019,2
ATLANTICO,8/4/2019,16
BOGOTA,8/4/2019,28
BOLIVAR,8/4/2019,4
BOYACA,8/4/2019,3
CALDAS,8/4/2019,2
CAQUETA,8/4/2019,1
CASANARE,8/4/2019,2
CAUCA,8/4/2019,6
CESAR,8/4/2019,8
CHOCO,8/4/2019,6
CORDOBA,8/4/2019,11
CUNDINAMARCA,8/4/2019,6
GUAINIA,8/4/2019,0
GUAVIARE,8/4/2019,0
HUILA,8/4/2019,4
LA GUAJIRA,8/4/2019,10
MAGDALENA,8/4/2019,9
META,8/4/2019,4
NARIÑO,8/4/2019,3
NORTE SANTANDER,8/4/2019,7
PUTUMAYO,8/4/2019,1
QUINDIO,8/4/2019,0
RISARALDA,8/4/2019,2
SAN ANDRES,8/4/2019,0
SANTANDER,8/4/2019,0
SUCRE,8/4/2019,3
TOLIMA,8/4/2019,3
VALLE DEL CAUCA,8/4/2019,16
VAUPES,8/4/2019,0
VICHADA,8/4/2019,0
AMAZONAS,8/11/2019,0
ANTIOQUIA,8/11/2019,27
ARAUCA,8/11/2019,2
ATLANTICO,8/11/2019,17
BOGOTA,8/11/2019,24
BOLIVAR,8/11/2019,12
BOYACA,8/11/2019,1
CALDAS,8/11/2019,2
CAQUETA,8/11/2019,2
CASANARE,8/11/2019,1
CAUCA,8/11/2019,8
CESAR,8/11/2019,3
CHOCO,8/11/2019,2
CORDOBA,8/11/2019,8
CUNDINAMARCA,8/11/2019,11
GUAINIA,8/11/2019,0
GUAVIARE,8/11/2019,1
HUILA,8/11/2019,5
LA GUAJIRA,8/11/2019,11
MAGDALENA,8/11/2019,3
META,8/11/2019,2
NARIÑO,8/11/2019,5
NORTE SANTANDER,8/11/2019,2
PUTUMAYO,8/11/2019,0
QUINDIO,8/11/2019,1
RISARALDA,8/11/2019,4
SAN ANDRES,8/11/2019,0
SANTANDER,8/11/2019,6
SUCRE,8/11/2019,4
TOLIMA,8/11/2019,3
VALLE DEL CAUCA,8/11/2019,13
VAUPES,8/11/2019,0
VICHADA,8/11/2019,0
AMAZONAS,8/18/2019,0
ANTIOQUIA,8/18/2019,19
ARAUCA,8/18/2019,0
ATLANTICO,8/18/2019,17
BOGOTA,8/18/2019,19
BOLIVAR,8/18/2019,12
BOYACA,8/18/2019,3
CALDAS,8/18/2019,3
CAQUETA,8/18/2019,0
CASANARE,8/18/2019,1
CAUCA,8/18/2019,2
CESAR,8/18/2019,7
CHOCO,8/18/2019,9
CORDOBA,8/18/2019,5
CUNDINAMARCA,8/18/2019,4
GUAINIA,8/18/2019,0
GUAVIARE,8/18/2019,0
HUILA,8/18/2019,3
LA GUAJIRA,8/18/2019,11
MAGDALENA,8/18/2019,5
META,8/18/2019,4
NARIÑO,8/18/2019,2
NORTE SANTANDER,8/18/2019,6
PUTUMAYO,8/18/2019,0
QUINDIO,8/18/2019,1
RISARALDA,8/18/2019,2
SAN ANDRES,8/18/2019,0
SANTANDER,8/18/2019,1
SUCRE,8/18/2019,5
TOLIMA,8/18/2019,2
VALLE DEL CAUCA,8/18/2019,14
VAUPES,8/18/2019,0
VICHADA,8/18/2019,1
AMAZONAS,8/25/2019,2
ANTIOQUIA,8/25/2019,13
ARAUCA,8/25/2019,1
ATLANTICO,8/25/2019,22
BOGOTA,8/25/2019,29
BOLIVAR,8/25/2019,11
BOYACA,8/25/2019,1
CALDAS,8/25/2019,3
CAQUETA,8/25/2019,1
CASANARE,8/25/2019,0
CAUCA,8/25/2019,6
CESAR,8/25/2019,5
CHOCO,8/25/2019,4
CORDOBA,8/25/2019,8
CUNDINAMARCA,8/25/2019,3
GUAINIA,8/25/2019,1
GUAVIARE,8/25/2019,0
HUILA,8/25/2019,8
LA GUAJIRA,8/25/2019,11
MAGDALENA,8/25/2019,7
META,8/25/2019,4
NARIÑO,8/25/2019,1
NORTE SANTANDER,8/25/2019,3
PUTUMAYO,8/25/2019,0
QUINDIO,8/25/2019,1
RISARALDA,8/25/2019,2
SAN ANDRES,8/25/2019,0
SANTANDER,8/25/2019,3
SUCRE,8/25/2019,2
TOLIMA,8/25/2019,4
VALLE DEL CAUCA,8/25/2019,15
VAUPES,8/25/2019,0
VICHADA,8/25/2019,1
AMAZONAS,9/1/2019,1
ANTIOQUIA,9/1/2019,22
ARAUCA,9/1/2019,2
ATLANTICO,9/1/2019,16
BOGOTA,9/1/2019,27
BOLIVAR,9/1/2019,3
BOYACA,9/1/2019,2
CALDAS,9/1/2019,2
CAQUETA,9/1/2019,3
CASANARE,9/1/2019,0
CAUCA,9/1/2019,4
CESAR,9/1/2019,5
CHOCO,9/1/2019,5
CORDOBA,9/1/2019,9
CUNDINAMARCA,9/1/2019,4
GUAINIA,9/1/2019,0
GUAVIARE,9/1/2019,0
HUILA,9/1/2019,3
LA GUAJIRA,9/1/2019,9
MAGDALENA,9/1/2019,12
META,9/1/2019,9
NARIÑO,9/1/2019,4
NORTE SANTANDER,9/1/2019,8
PUTUMAYO,9/1/2019,3
QUINDIO,9/1/2019,0
RISARALDA,9/1/2019,2
SAN ANDRES,9/1/2019,2
SANTANDER,9/1/2019,9
